State,Area,Address,Store Name,Rating,Review Count,Store Status
Johor,Segamat,"Address: No. 45, Ground Floor, One Segamat, Jln Kolam Air, Kampung Gubah, 85000 Segamat, Johor Darul Ta'zim ",KFC One Segamat,3.8,(153),Operating
Johor,Segamat,"Address: Lot 2690, Lbh Persiaran Tun Khalil Yaakob, Kampung Rasau, 85000 Segamat, Johor Darul Ta'zim ",KFC Segamat DT,3.9,(876),Operating
Johor,Segamat,"Address: 150 & 151, Jalan Sia Her Yam, Kampung Abdullah, 85000 Segamat, Johor Darul Ta'zim ",KFC Segamat,4.0,"(1,021)",Operating
