State,Area,Map URL,Store Name,Rating,Review Count,Store Status
Johor,Sekijang,https://www.google.com/maps/place/KFC+Labis/data=!4m7!3m6!1s0x31cfd876059f3a19:0x78511880568e5512!8m2!3d2.3989989!4d103.0185499!16s%2Fg%2F1hc0r6_4k!19sChIJGTqfBXbYzzERElWOVoAYUXg?authuser=0&hl=en&rclk=1,KFC Labis,3.9,(566),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+JB+Sentral/data=!4m7!3m6!1s0x31da12db520fcb5b:0xf36f2d10ff629680!8m2!3d1.463675!4d103.7640109!16s%2Fg%2F11c67rym0q!19sChIJW8sPUtsS2jERgJZi_xAtb_M?authuser=0&hl=en&rclk=1,KFC JB Sentral,2.6,(258),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+Paradigm+Mall/data=!4m7!3m6!1s0x31da72ff7beb5169:0x9e906340ef6f78c9!8m2!3d1.516239!4d103.6851193!16s%2Fg%2F11hbgb986k!19sChIJaVHre_9y2jERyXhv70BjkJ4?authuser=0&hl=en&rclk=1,KFC Paradigm Mall,2.5,(240),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+Kota+Tinggi/data=!4m7!3m6!1s0x31da5ff10625ba83:0xd62e046840b72419!8m2!3d1.7309262!4d103.901543!16s%2Fg%2F1tfbqdm0!19sChIJg7olBvFf2jERGSS3QGgELtY?authuser=0&hl=en&rclk=1,KFC Kota Tinggi,3.9,(779),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+Jementah/data=!4m7!3m6!1s0x31ce29a7377b27f9:0x4b42b9f7fef0277c!8m2!3d2.4376149!4d102.6839351!16s%2Fg%2F11c2qg4cym!19sChIJ-Sd7N6cpzjERfCfw_ve5Qks?authuser=0&hl=en&rclk=1,KFC Jementah,3.9,(334),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+MID+VALLEY+SOUTHKEY/data=!4m7!3m6!1s0x31da6dcd9452edd3:0xf117c6441cd37768!8m2!3d1.5012053!4d103.7769041!16s%2Fg%2F11l2ljh7g6!19sChIJ0-1SlM1t2jERaHfTHETGF_E?authuser=0&hl=en&rclk=1,KFC MID VALLEY SOUTHKEY,3.2,(191),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+Tangkak/data=!4m7!3m6!1s0x31d1db689b6c27fd:0x80d4d86c60de4e68!8m2!3d2.2699658!4d102.5417015!16s%2Fg%2F1vmqzx6j!19sChIJ_Sdsm2jb0TERaE7eYGzY1IA?authuser=0&hl=en&rclk=1,KFC Tangkak,3.9,(816),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+Bukit+Gambir/data=!4m7!3m6!1s0x31d1cf0760c054a5:0x528abb6a34b821eb!8m2!3d2.2120018!4d102.6526357!16s%2Fg%2F1hc13g6r2!19sChIJpVTAYAfP0TER6yG4NGq7ilI?authuser=0&hl=en&rclk=1,KFC Bukit Gambir,4.1,(650),Operating
Johor,Sekijang,https://www.google.com/maps/place/KFC+Parit+Raja/data=!4m7!3m6!1s0x31d05c25e99185bb:0x4e46090fd5ca011e!8m2!3d1.865682!4d103.1149743!16s%2Fg%2F1thkzc33!19sChIJu4WR6SVc0DERHgHK1Q8JRk4?authuser=0&hl=en&rclk=1,KFC Parit Raja,4.0,(918),Permanently Closed
Johor,Sekijang,"https://www.google.com/maps/place/KFC+@+Labis,+Johor/data=!4m7!3m6!1s0x31ce2b734102b019:0xdb64e2736cb56e07!8m2!3d2.458599!4d102.766487!16s%2Fg%2F1pzqtq4g2!19sChIJGbACQXMrzjERB261bHPiZNs?authuser=0&hl=en&rclk=1","KFC @ Labis, Johor",0,0,Permanently Closed
Johor,Labis,"https://www.google.com/maps/search/KFC+near+Labis,+Johor",KFC Labis,3.9,(566),Operating
Johor,Pagoh,https://www.google.com/maps/place/KFC+Bandar+Universiti+Pagoh+DT/data=!4m7!3m6!1s0x31d1cb76f264ecaf:0x71d0626b160f6478!8m2!3d2.1514025!4d102.7290044!16s%2Fg%2F11trnmvzp2!19sChIJr-xk8nbL0TEReGQPFmti0HE?authuser=0&hl=en&rclk=1,KFC Bandar Universiti Pagoh DT,4.1,(306),Operating
Johor,Pagoh,https://www.google.com/maps/place/KFC+RSA+Pagoh/data=!4m7!3m6!1s0x31d1cada9f31200d:0xf35bb1c62c0753cd!8m2!3d2.1217757!4d102.7936624!16s%2Fg%2F11bxfj61p5!19sChIJDSAxn9rK0TERzVMHLMaxW_M?authuser=0&hl=en&rclk=1,KFC RSA Pagoh,4.0,(737),Operating
Johor,Ledang,"https://www.google.com/maps/search/KFC+near+Ledang,+Johor",KFC Tangkak,3.9,(816),Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+Muar+2/data=!4m7!3m6!1s0x31d1b9011589d615:0x4ba76930e7af32c6!8m2!3d2.0516937!4d102.5716673!16s%2Fg%2F1hc67gmws!19sChIJFdaJFQG50TERxjKv5zBpp0s?authuser=0&hl=en&rclk=1,KFC Muar 2,3.9,(826),Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+Muar+1/data=!4m7!3m6!1s0x31d1b90fa9c10d21:0xec0fe8cbe22627e7!8m2!3d2.0436747!4d102.5670076!16s%2Fg%2F1v9l883k!19sChIJIQ3BqQ-50TER5ycm4svoD-w?authuser=0&hl=en&rclk=1,KFC Muar 1,3.8,(624),Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+K+Mart+Muar/data=!4m7!3m6!1s0x31d1b8e657102ac7:0xa52e1b6c8c4bb1ee!8m2!3d2.0630841!4d102.5563376!16s%2Fg%2F1hc146yp5!19sChIJxyoQV-a40TER7rFLjGwbLqU?authuser=0&hl=en&rclk=1,KFC K Mart Muar,4.1,(470),Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+Pekan+Bukit+Pasir+Muar/data=!4m7!3m6!1s0x31d1c834544ae7c3:0x76f9775fe86f0f26!8m2!3d2.0974428!4d102.6347292!16s%2Fg%2F11c0qgr8hc!19sChIJw-dKVDTI0TERJg9v6F93-XY?authuser=0&hl=en&rclk=1,KFC Pekan Bukit Pasir Muar,4.0,(698),Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+NSK+Muar/data=!4m7!3m6!1s0x31d1b8e65d248465:0x2e745541136d8def!8m2!3d2.0536293!4d102.5675443!16s%2Fg%2F1tdfqnfr!19sChIJZYQkXea40TER741tE0FVdC4?authuser=0&hl=en&rclk=1,KFC NSK Muar,3.6,(251),Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+Puteri+Wangsa+DT/data=!4m7!3m6!1s0x31da6ec97331743d:0xf78bfd239d1b1cb9!8m2!3d1.5738455!4d103.814424!16s%2Fg%2F11b5zs6x3d!19sChIJPXQxc8lu2jERuRwbnSP9i_c?authuser=0&hl=en&rclk=1,KFC Puteri Wangsa DT,4.0,"(1,515)",Operating
Johor,Bakri,https://www.google.com/maps/place/KFC+RSA+Pagoh/data=!4m7!3m6!1s0x31d1cada9f31200d:0xf35bb1c62c0753cd!8m2!3d2.1217757!4d102.7936624!16s%2Fg%2F11bxfj61p5!19sChIJDSAxn9rK0TERzVMHLMaxW_M?authuser=0&hl=en&rclk=1,KFC RSA Pagoh,4.0,(737),Operating
